code_name|code_api_url|code_html_url|repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
acdb_linked_list.c|https://api.github.com/repositories/81221893/contents/mm-audio/audcal/legacy_intf/common/acdb/src/acdb_linked_list.c?ref=e0666c398903d38e72aeda7042ec2836cd3dba68|https://github.com/sethsong90/vendor_qcom/blob/e0666c398903d38e72aeda7042ec2836cd3dba68/mm-audio/audcal/legacy_intf/common/acdb/src/acdb_linked_list.c|vendor_qcom|sethsong90|14|10|vendor|https://api.github.com/repos/sethsong90/vendor_qcom|https://github.com/sethsong90/vendor_qcom|https://api.github.com/repos/sethsong90/vendor_qcom/stargazers|https://api.github.com/repos/sethsong90/vendor_qcom/subscribers|https://api.github.com/repos/sethsong90/vendor_qcom/forks|https://api.github.com/repos/sethsong90/vendor_qcom/languages
mikmod_types.c|https://api.github.com/repositories/28333874/contents/ext/mikmod/mikmod_types.c?ref=bc2bd82c1b696711124fd55eaa6cd5adedd31a2f|https://github.com/veo-labs/gst-plugins-good/blob/bc2bd82c1b696711124fd55eaa6cd5adedd31a2f/ext/mikmod/mikmod_types.c|gst-plugins-good|veo-labs|1|0||https://api.github.com/repos/veo-labs/gst-plugins-good|https://github.com/veo-labs/gst-plugins-good|https://api.github.com/repos/veo-labs/gst-plugins-good/stargazers|https://api.github.com/repos/veo-labs/gst-plugins-good/subscribers|https://api.github.com/repos/veo-labs/gst-plugins-good/forks|https://api.github.com/repos/veo-labs/gst-plugins-good/languages
seemp_param_id.h|https://api.github.com/repositories/294799260/contents/include/uapi/linux/seemp_param_id.h?ref=f534186a8819fd16396919e2a79237d699344202|https://github.com/Fraaxius/kernel_moto_sdm632/blob/f534186a8819fd16396919e2a79237d699344202/include/uapi/linux/seemp_param_id.h|kernel_moto_sdm632|Fraaxius|0|0|Lineage kernel for Motorola SDM632 devices|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632|https://github.com/Fraaxius/kernel_moto_sdm632|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/stargazers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/subscribers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/forks|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/languages
acdb_linked_list.c|https://api.github.com/repositories/81221893/contents/mm-audio/audcal/family-b/acdb/src/acdb_linked_list.c?ref=e0666c398903d38e72aeda7042ec2836cd3dba68|https://github.com/sethsong90/vendor_qcom/blob/e0666c398903d38e72aeda7042ec2836cd3dba68/mm-audio/audcal/family-b/acdb/src/acdb_linked_list.c|vendor_qcom|sethsong90|14|10|vendor|https://api.github.com/repos/sethsong90/vendor_qcom|https://github.com/sethsong90/vendor_qcom|https://api.github.com/repos/sethsong90/vendor_qcom/stargazers|https://api.github.com/repos/sethsong90/vendor_qcom/subscribers|https://api.github.com/repos/sethsong90/vendor_qcom/forks|https://api.github.com/repos/sethsong90/vendor_qcom/languages
acdb_linked_list.c|https://api.github.com/repositories/81221893/contents/mm-audio/audcal/legacy_intf/common_8960/acdb/src/acdb_linked_list.c?ref=e0666c398903d38e72aeda7042ec2836cd3dba68|https://github.com/sethsong90/vendor_qcom/blob/e0666c398903d38e72aeda7042ec2836cd3dba68/mm-audio/audcal/legacy_intf/common_8960/acdb/src/acdb_linked_list.c|vendor_qcom|sethsong90|14|10|vendor|https://api.github.com/repos/sethsong90/vendor_qcom|https://github.com/sethsong90/vendor_qcom|https://api.github.com/repos/sethsong90/vendor_qcom/stargazers|https://api.github.com/repos/sethsong90/vendor_qcom/subscribers|https://api.github.com/repos/sethsong90/vendor_qcom/forks|https://api.github.com/repos/sethsong90/vendor_qcom/languages
clients.c|https://api.github.com/repositories/25895076/contents/libtransmission/clients.c?ref=232fba8895847952719b33fb63e45cc2d85e6477|https://github.com/jaseg/transmission/blob/232fba8895847952719b33fb63e45cc2d85e6477/libtransmission/clients.c|transmission|jaseg|0|0||https://api.github.com/repos/jaseg/transmission|https://github.com/jaseg/transmission|https://api.github.com/repos/jaseg/transmission/stargazers|https://api.github.com/repos/jaseg/transmission/subscribers|https://api.github.com/repos/jaseg/transmission/forks|https://api.github.com/repos/jaseg/transmission/languages
cmp_unit_test.c|https://api.github.com/repositories/72214588/contents/tests/cmp_unit_test.c?ref=0d2345774dddfb94d753a97db802d19494e31a82|https://github.com/bjornfor/grub/blob/0d2345774dddfb94d753a97db802d19494e31a82/tests/cmp_unit_test.c|grub|bjornfor|0|1|My GRUB fork|https://api.github.com/repos/bjornfor/grub|https://github.com/bjornfor/grub|https://api.github.com/repos/bjornfor/grub/stargazers|https://api.github.com/repos/bjornfor/grub/subscribers|https://api.github.com/repos/bjornfor/grub/forks|https://api.github.com/repos/bjornfor/grub/languages
seemp_param_id.h|https://api.github.com/repositories/214838925/contents/include/uapi/linux/seemp_param_id.h?ref=52a11302b2fedcdba054f9282bdb5bab795b51bd|https://github.com/yc9559/android_kernel_oneplus_7/blob/52a11302b2fedcdba054f9282bdb5bab795b51bd/include/uapi/linux/seemp_param_id.h|android_kernel_oneplus_7|yc9559|3|0|Fork from https://gitlab.com/HolyAngel/op7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7|https://github.com/yc9559/android_kernel_oneplus_7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/stargazers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/subscribers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/forks|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/languages
constants.c|https://api.github.com/repositories/25753072/contents/constants.c?ref=a3d142a4839b71498ec7e5fc3c6b56c100040fa2|https://github.com/gitpan/Net-SSLeay/blob/a3d142a4839b71498ec7e5fc3c6b56c100040fa2/constants.c|Net-SSLeay|gitpan|0|0|Read-only release history for Net-SSLeay|https://api.github.com/repos/gitpan/Net-SSLeay|https://github.com/gitpan/Net-SSLeay|https://api.github.com/repos/gitpan/Net-SSLeay/stargazers|https://api.github.com/repos/gitpan/Net-SSLeay/subscribers|https://api.github.com/repos/gitpan/Net-SSLeay/forks|https://api.github.com/repos/gitpan/Net-SSLeay/languages
seemp_param_id.h|https://api.github.com/repositories/339304235/contents/include/uapi/linux/seemp_param_id.h?ref=dc7245ba1dd1235d83497f55d85629520cefec56|https://github.com/s3tupw1zard/kernel_xiaomi_ginkgo-1/blob/dc7245ba1dd1235d83497f55d85629520cefec56/include/uapi/linux/seemp_param_id.h|kernel_xiaomi_ginkgo-1|s3tupw1zard|0|0||https://api.github.com/repos/s3tupw1zard/kernel_xiaomi_ginkgo-1|https://github.com/s3tupw1zard/kernel_xiaomi_ginkgo-1|https://api.github.com/repos/s3tupw1zard/kernel_xiaomi_ginkgo-1/stargazers|https://api.github.com/repos/s3tupw1zard/kernel_xiaomi_ginkgo-1/subscribers|https://api.github.com/repos/s3tupw1zard/kernel_xiaomi_ginkgo-1/forks|https://api.github.com/repos/s3tupw1zard/kernel_xiaomi_ginkgo-1/languages
