code_name|code_api_url|code_html_url|repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
memcpy_test.c|https://api.github.com/repositories/101268480/contents/src/tests/memcpy_test.c?ref=eaf0303347eb3a1c59b25a47e4d00eb4ce43bed1|https://github.com/benniehe/ipxe/blob/eaf0303347eb3a1c59b25a47e4d00eb4ce43bed1/src/tests/memcpy_test.c|ipxe|benniehe|0|0||https://api.github.com/repos/benniehe/ipxe|https://github.com/benniehe/ipxe|https://api.github.com/repos/benniehe/ipxe/stargazers|https://api.github.com/repos/benniehe/ipxe/subscribers|https://api.github.com/repos/benniehe/ipxe/forks|https://api.github.com/repos/benniehe/ipxe/languages
bugprone-not-null-terminated-result-memcpy-safe.c|https://api.github.com/repositories/251524677/contents/clang-tools-extra/test/clang-tidy/checkers/bugprone-not-null-terminated-result-memcpy-safe.c?ref=1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c|https://github.com/sailfishos-mirror/llvm-project/blob/1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c/clang-tools-extra/test/clang-tidy/checkers/bugprone-not-null-terminated-result-memcpy-safe.c|llvm-project|sailfishos-mirror|0|0|https://github.com/llvm/llvm-project.git|https://api.github.com/repos/sailfishos-mirror/llvm-project|https://github.com/sailfishos-mirror/llvm-project|https://api.github.com/repos/sailfishos-mirror/llvm-project/stargazers|https://api.github.com/repos/sailfishos-mirror/llvm-project/subscribers|https://api.github.com/repos/sailfishos-mirror/llvm-project/forks|https://api.github.com/repos/sailfishos-mirror/llvm-project/languages
ipa_test_dma.c|https://api.github.com/repositories/118633889/contents/drivers/platform/msm/ipa/test/ipa_test_dma.c?ref=acab3402f8cd3eced4f5c5008bafa453c3778bc0|https://github.com/evopen/DHH-OP3T/blob/acab3402f8cd3eced4f5c5008bafa453c3778bc0/drivers/platform/msm/ipa/test/ipa_test_dma.c|DHH-OP3T|evopen|0|0||https://api.github.com/repos/evopen/DHH-OP3T|https://github.com/evopen/DHH-OP3T|https://api.github.com/repos/evopen/DHH-OP3T/stargazers|https://api.github.com/repos/evopen/DHH-OP3T/subscribers|https://api.github.com/repos/evopen/DHH-OP3T/forks|https://api.github.com/repos/evopen/DHH-OP3T/languages
ipa_test_dma.c|https://api.github.com/repositories/294799260/contents/drivers/platform/msm/ipa/test/ipa_test_dma.c?ref=f534186a8819fd16396919e2a79237d699344202|https://github.com/Fraaxius/kernel_moto_sdm632/blob/f534186a8819fd16396919e2a79237d699344202/drivers/platform/msm/ipa/test/ipa_test_dma.c|kernel_moto_sdm632|Fraaxius|0|0|Lineage kernel for Motorola SDM632 devices|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632|https://github.com/Fraaxius/kernel_moto_sdm632|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/stargazers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/subscribers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/forks|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/languages
bugprone-not-null-terminated-result-memcpy-safe-other.c|https://api.github.com/repositories/251524677/contents/clang-tools-extra/test/clang-tidy/checkers/bugprone-not-null-terminated-result-memcpy-safe-other.c?ref=1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c|https://github.com/sailfishos-mirror/llvm-project/blob/1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c/clang-tools-extra/test/clang-tidy/checkers/bugprone-not-null-terminated-result-memcpy-safe-other.c|llvm-project|sailfishos-mirror|0|0|https://github.com/llvm/llvm-project.git|https://api.github.com/repos/sailfishos-mirror/llvm-project|https://github.com/sailfishos-mirror/llvm-project|https://api.github.com/repos/sailfishos-mirror/llvm-project/stargazers|https://api.github.com/repos/sailfishos-mirror/llvm-project/subscribers|https://api.github.com/repos/sailfishos-mirror/llvm-project/forks|https://api.github.com/repos/sailfishos-mirror/llvm-project/languages
wmfplugin.c|https://api.github.com/repositories/17747322/contents/lib/gks/plugin/wmfplugin.c?ref=c5fbc6613de1437a3dd598680de02af8dbe1098f|https://github.com/sciapp/gr/blob/c5fbc6613de1437a3dd598680de02af8dbe1098f/lib/gks/plugin/wmfplugin.c|gr|sciapp|249|33|GR framework: a graphics library for visualisation applications|https://api.github.com/repos/sciapp/gr|https://github.com/sciapp/gr|https://api.github.com/repos/sciapp/gr/stargazers|https://api.github.com/repos/sciapp/gr/subscribers|https://api.github.com/repos/sciapp/gr/forks|https://api.github.com/repos/sciapp/gr/languages
Grid_CudaMHDRK2_2ndStep.C|https://api.github.com/repositories/170739386/contents/code/enzo/src/enzo/hydro_rk/Grid_CudaMHDRK2_2ndStep.C?ref=8b20dc05842a22ea50ceb3d646037d2e66fc8c9b|https://github.com/bvillasen/cosmo_sims/blob/8b20dc05842a22ea50ceb3d646037d2e66fc8c9b/code/enzo/src/enzo/hydro_rk/Grid_CudaMHDRK2_2ndStep.C|cosmo_sims|bvillasen|0|0|Tools for analysis of cosmological simulations|https://api.github.com/repos/bvillasen/cosmo_sims|https://github.com/bvillasen/cosmo_sims|https://api.github.com/repos/bvillasen/cosmo_sims/stargazers|https://api.github.com/repos/bvillasen/cosmo_sims/subscribers|https://api.github.com/repos/bvillasen/cosmo_sims/forks|https://api.github.com/repos/bvillasen/cosmo_sims/languages
Grid_CudaMHDRK2_1stStep.C|https://api.github.com/repositories/170739386/contents/code/enzo/src/enzo/hydro_rk/Grid_CudaMHDRK2_1stStep.C?ref=8b20dc05842a22ea50ceb3d646037d2e66fc8c9b|https://github.com/bvillasen/cosmo_sims/blob/8b20dc05842a22ea50ceb3d646037d2e66fc8c9b/code/enzo/src/enzo/hydro_rk/Grid_CudaMHDRK2_1stStep.C|cosmo_sims|bvillasen|0|0|Tools for analysis of cosmological simulations|https://api.github.com/repos/bvillasen/cosmo_sims|https://github.com/bvillasen/cosmo_sims|https://api.github.com/repos/bvillasen/cosmo_sims/stargazers|https://api.github.com/repos/bvillasen/cosmo_sims/subscribers|https://api.github.com/repos/bvillasen/cosmo_sims/forks|https://api.github.com/repos/bvillasen/cosmo_sims/languages
builtins-memcpy-inline.c|https://api.github.com/repositories/251524677/contents/clang/test/CodeGen/builtins-memcpy-inline.c?ref=1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c|https://github.com/sailfishos-mirror/llvm-project/blob/1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c/clang/test/CodeGen/builtins-memcpy-inline.c|llvm-project|sailfishos-mirror|0|0|https://github.com/llvm/llvm-project.git|https://api.github.com/repos/sailfishos-mirror/llvm-project|https://github.com/sailfishos-mirror/llvm-project|https://api.github.com/repos/sailfishos-mirror/llvm-project/stargazers|https://api.github.com/repos/sailfishos-mirror/llvm-project/subscribers|https://api.github.com/repos/sailfishos-mirror/llvm-project/forks|https://api.github.com/repos/sailfishos-mirror/llvm-project/languages
ipa_test_dma.c|https://api.github.com/repositories/214838925/contents/drivers/platform/msm/ipa/test/ipa_test_dma.c?ref=52a11302b2fedcdba054f9282bdb5bab795b51bd|https://github.com/yc9559/android_kernel_oneplus_7/blob/52a11302b2fedcdba054f9282bdb5bab795b51bd/drivers/platform/msm/ipa/test/ipa_test_dma.c|android_kernel_oneplus_7|yc9559|3|0|Fork from https://gitlab.com/HolyAngel/op7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7|https://github.com/yc9559/android_kernel_oneplus_7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/stargazers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/subscribers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/forks|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/languages
