code_name|code_api_url|code_html_url|repo_name|repo_owner|repo_starcount|repo_forkcount|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
bugprone-suspicious-string-compare.c|https://api.github.com/repositories/251524677/contents/clang-tools-extra/test/clang-tidy/checkers/bugprone-suspicious-string-compare.c?ref=1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c|https://github.com/sailfishos-mirror/llvm-project/blob/1cc9d949a1233e8b17b3b345ccb67ca7296c1a6c/clang-tools-extra/test/clang-tidy/checkers/bugprone-suspicious-string-compare.c|llvm-project|sailfishos-mirror|0|0|https://github.com/llvm/llvm-project.git|https://api.github.com/repos/sailfishos-mirror/llvm-project|https://github.com/sailfishos-mirror/llvm-project|https://api.github.com/repos/sailfishos-mirror/llvm-project/stargazers|https://api.github.com/repos/sailfishos-mirror/llvm-project/subscribers|https://api.github.com/repos/sailfishos-mirror/llvm-project/forks|https://api.github.com/repos/sailfishos-mirror/llvm-project/languages
as40.c|https://api.github.com/repositories/136972440/contents/as40.c?ref=f4448468be1bd7d8efdb8c8f17678a6447b81693|https://github.com/andi8086/as4/blob/f4448468be1bd7d8efdb8c8f17678a6447b81693/as40.c|as4|andi8086|0|0|Assembler for Intel i4004 according to MCS-4 user manual language spec|https://api.github.com/repos/andi8086/as4|https://github.com/andi8086/as4|https://api.github.com/repos/andi8086/as4/stargazers|https://api.github.com/repos/andi8086/as4/subscribers|https://api.github.com/repos/andi8086/as4/forks|https://api.github.com/repos/andi8086/as4/languages
language.c|https://api.github.com/repositories/58920675/contents/arm9/source/language.c?ref=4bdb2400da9ea59e4dc6fe750f9dd618a33c282a|https://github.com/marcosptf/DSOrganize-3.2/blob/4bdb2400da9ea59e4dc6fe750f9dd618a33c282a/arm9/source/language.c|DSOrganize-3.2|marcosptf|0|0|fan respository - not official - app to run nintendo ds(i) R4 or supercard systems|https://api.github.com/repos/marcosptf/DSOrganize-3.2|https://github.com/marcosptf/DSOrganize-3.2|https://api.github.com/repos/marcosptf/DSOrganize-3.2/stargazers|https://api.github.com/repos/marcosptf/DSOrganize-3.2/subscribers|https://api.github.com/repos/marcosptf/DSOrganize-3.2/forks|https://api.github.com/repos/marcosptf/DSOrganize-3.2/languages
as4.c|https://api.github.com/repositories/136972440/contents/as4.c?ref=f4448468be1bd7d8efdb8c8f17678a6447b81693|https://github.com/andi8086/as4/blob/f4448468be1bd7d8efdb8c8f17678a6447b81693/as4.c|as4|andi8086|0|0|Assembler for Intel i4004 according to MCS-4 user manual language spec|https://api.github.com/repos/andi8086/as4|https://github.com/andi8086/as4|https://api.github.com/repos/andi8086/as4/stargazers|https://api.github.com/repos/andi8086/as4/subscribers|https://api.github.com/repos/andi8086/as4/forks|https://api.github.com/repos/andi8086/as4/languages
bugprone-suspicious-string-compare.c|https://api.github.com/repositories/261522568/contents/src/third_party/llvm-project/clang-tools-extra/test/clang-tidy/bugprone-suspicious-string-compare.c?ref=9c08e8415ad2e80fcaf050eea4a44bde61922ab4|https://github.com/TPVChethan/CoAT/blob/9c08e8415ad2e80fcaf050eea4a44bde61922ab4/src/third_party/llvm-project/clang-tools-extra/test/clang-tidy/bugprone-suspicious-string-compare.c|CoAT|TPVChethan|0|0||https://api.github.com/repos/TPVChethan/CoAT|https://github.com/TPVChethan/CoAT|https://api.github.com/repos/TPVChethan/CoAT/stargazers|https://api.github.com/repos/TPVChethan/CoAT/subscribers|https://api.github.com/repos/TPVChethan/CoAT/forks|https://api.github.com/repos/TPVChethan/CoAT/languages
timeZone.c|https://api.github.com/repositories/351866070/contents/roles/prerequisitos/openresty/files/GeoIP-1.6.0/libGeoIP/timeZone.c?ref=4257578042839cdcc43fac918b18806bcc96b033|https://github.com/wasuaje/server-admin/blob/4257578042839cdcc43fac918b18806bcc96b033/roles/prerequisitos/openresty/files/GeoIP-1.6.0/libGeoIP/timeZone.c|server-admin|wasuaje|0|0||https://api.github.com/repos/wasuaje/server-admin|https://github.com/wasuaje/server-admin|https://api.github.com/repos/wasuaje/server-admin/stargazers|https://api.github.com/repos/wasuaje/server-admin/subscribers|https://api.github.com/repos/wasuaje/server-admin/forks|https://api.github.com/repos/wasuaje/server-admin/languages
cmd_yucca.c|https://api.github.com/repositories/331399081/contents/board/amcc/yucca/cmd_yucca.c?ref=28dc79db3c9dbf6746e19ff551889a642b07df98|https://github.com/samuelsordo/openrex-uboot-v2015.10/blob/28dc79db3c9dbf6746e19ff551889a642b07df98/board/amcc/yucca/cmd_yucca.c|openrex-uboot-v2015.10|samuelsordo|0|0||https://api.github.com/repos/samuelsordo/openrex-uboot-v2015.10|https://github.com/samuelsordo/openrex-uboot-v2015.10|https://api.github.com/repos/samuelsordo/openrex-uboot-v2015.10/stargazers|https://api.github.com/repos/samuelsordo/openrex-uboot-v2015.10/subscribers|https://api.github.com/repos/samuelsordo/openrex-uboot-v2015.10/forks|https://api.github.com/repos/samuelsordo/openrex-uboot-v2015.10/languages
cmd_yucca.c|https://api.github.com/repositories/264464609/contents/board/amcc/yucca/cmd_yucca.c?ref=3fd2b3aa19b9479b5e785087e4951d3a7bbb87be|https://github.com/advolotkina/pricetag-u-boot/blob/3fd2b3aa19b9479b5e785087e4951d3a7bbb87be/board/amcc/yucca/cmd_yucca.c|pricetag-u-boot|advolotkina|0|0|U-boot для электронного ценника (ВКР)|https://api.github.com/repos/advolotkina/pricetag-u-boot|https://github.com/advolotkina/pricetag-u-boot|https://api.github.com/repos/advolotkina/pricetag-u-boot/stargazers|https://api.github.com/repos/advolotkina/pricetag-u-boot/subscribers|https://api.github.com/repos/advolotkina/pricetag-u-boot/forks|https://api.github.com/repos/advolotkina/pricetag-u-boot/languages
cmd_yucca.c|https://api.github.com/repositories/124036771/contents/u-boot-2017.05/board/amcc/yucca/cmd_yucca.c?ref=6a4e8108ba73bff98cbc1399a215391112c5e594|https://github.com/lishengbin168/tiny4412_uboot/blob/6a4e8108ba73bff98cbc1399a215391112c5e594/u-boot-2017.05/board/amcc/yucca/cmd_yucca.c|tiny4412_uboot|lishengbin168|0|0||https://api.github.com/repos/lishengbin168/tiny4412_uboot|https://github.com/lishengbin168/tiny4412_uboot|https://api.github.com/repos/lishengbin168/tiny4412_uboot/stargazers|https://api.github.com/repos/lishengbin168/tiny4412_uboot/subscribers|https://api.github.com/repos/lishengbin168/tiny4412_uboot/forks|https://api.github.com/repos/lishengbin168/tiny4412_uboot/languages
cmd_yucca.c|https://api.github.com/repositories/130034805/contents/board/amcc/yucca/cmd_yucca.c?ref=87465c3c8fb1ebaab65f77aca93895807227f1c5|https://github.com/YuHY88/ht2200-uboot/blob/87465c3c8fb1ebaab65f77aca93895807227f1c5/board/amcc/yucca/cmd_yucca.c|ht2200-uboot|YuHY88|0|0||https://api.github.com/repos/YuHY88/ht2200-uboot|https://github.com/YuHY88/ht2200-uboot|https://api.github.com/repos/YuHY88/ht2200-uboot/stargazers|https://api.github.com/repos/YuHY88/ht2200-uboot/subscribers|https://api.github.com/repos/YuHY88/ht2200-uboot/forks|https://api.github.com/repos/YuHY88/ht2200-uboot/languages
cmd_yucca.c|https://api.github.com/repositories/93647959/contents/board/amcc/yucca/cmd_yucca.c?ref=c1d50a2f68381400a20a85ac3305f49160f5b4d3|https://github.com/lizuobin/uboot-2012.04.01-jz2440/blob/c1d50a2f68381400a20a85ac3305f49160f5b4d3/board/amcc/yucca/cmd_yucca.c|uboot-2012.04.01-jz2440|lizuobin|0|3||https://api.github.com/repos/lizuobin/uboot-2012.04.01-jz2440|https://github.com/lizuobin/uboot-2012.04.01-jz2440|https://api.github.com/repos/lizuobin/uboot-2012.04.01-jz2440/stargazers|https://api.github.com/repos/lizuobin/uboot-2012.04.01-jz2440/subscribers|https://api.github.com/repos/lizuobin/uboot-2012.04.01-jz2440/forks|https://api.github.com/repos/lizuobin/uboot-2012.04.01-jz2440/languages
cmd_yucca.c|https://api.github.com/repositories/47448511/contents/board/amcc/yucca/cmd_yucca.c?ref=f02ea7e6f46bc8259c982a1c973b3a5a7d8e61ae|https://github.com/tonghua208/ok6410_uboot_1_6/blob/f02ea7e6f46bc8259c982a1c973b3a5a7d8e61ae/board/amcc/yucca/cmd_yucca.c|ok6410_uboot_1_6|tonghua208|0|0||https://api.github.com/repos/tonghua208/ok6410_uboot_1_6|https://github.com/tonghua208/ok6410_uboot_1_6|https://api.github.com/repos/tonghua208/ok6410_uboot_1_6/stargazers|https://api.github.com/repos/tonghua208/ok6410_uboot_1_6/subscribers|https://api.github.com/repos/tonghua208/ok6410_uboot_1_6/forks|https://api.github.com/repos/tonghua208/ok6410_uboot_1_6/languages
cmd_yucca.c|https://api.github.com/repositories/39000298/contents/board/amcc/yucca/cmd_yucca.c?ref=7b19135a50e660679db5a7a5b9ecda881ca94a7f|https://github.com/Mleaf/i.mx6q-uboot/blob/7b19135a50e660679db5a7a5b9ecda881ca94a7f/board/amcc/yucca/cmd_yucca.c|i.mx6q-uboot|Mleaf|0|0||https://api.github.com/repos/Mleaf/i.mx6q-uboot|https://github.com/Mleaf/i.mx6q-uboot|https://api.github.com/repos/Mleaf/i.mx6q-uboot/stargazers|https://api.github.com/repos/Mleaf/i.mx6q-uboot/subscribers|https://api.github.com/repos/Mleaf/i.mx6q-uboot/forks|https://api.github.com/repos/Mleaf/i.mx6q-uboot/languages
test-vasnprintf-posix.c|https://api.github.com/repositories/161644678/contents/libraries/gettext-0.19.7/gettext-tools/gnulib-tests/test-vasnprintf-posix.c?ref=b0124e4d2690e10cb2ea583afbc34049f4a7968e|https://github.com/openSYDE/openSYDE/blob/b0124e4d2690e10cb2ea583afbc34049f4a7968e/libraries/gettext-0.19.7/gettext-tools/gnulib-tests/test-vasnprintf-posix.c|openSYDE|openSYDE|12|7||https://api.github.com/repos/openSYDE/openSYDE|https://github.com/openSYDE/openSYDE|https://api.github.com/repos/openSYDE/openSYDE/stargazers|https://api.github.com/repos/openSYDE/openSYDE/subscribers|https://api.github.com/repos/openSYDE/openSYDE/forks|https://api.github.com/repos/openSYDE/openSYDE/languages
bits-tst.c|https://api.github.com/repositories/269456862/contents/sim/testsuite/common/bits-tst.c?ref=7c0a9a7c23fcefbabbe187586e78d1ae251e1017|https://github.com/Florin-Popescu/avr-gdb/blob/7c0a9a7c23fcefbabbe187586e78d1ae251e1017/sim/testsuite/common/bits-tst.c|avr-gdb|Florin-Popescu|0|0|GDB for AVR devices|https://api.github.com/repos/Florin-Popescu/avr-gdb|https://github.com/Florin-Popescu/avr-gdb|https://api.github.com/repos/Florin-Popescu/avr-gdb/stargazers|https://api.github.com/repos/Florin-Popescu/avr-gdb/subscribers|https://api.github.com/repos/Florin-Popescu/avr-gdb/forks|https://api.github.com/repos/Florin-Popescu/avr-gdb/languages
hists_output.c|https://api.github.com/repositories/294799260/contents/tools/perf/tests/hists_output.c?ref=f534186a8819fd16396919e2a79237d699344202|https://github.com/Fraaxius/kernel_moto_sdm632/blob/f534186a8819fd16396919e2a79237d699344202/tools/perf/tests/hists_output.c|kernel_moto_sdm632|Fraaxius|0|0|Lineage kernel for Motorola SDM632 devices|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632|https://github.com/Fraaxius/kernel_moto_sdm632|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/stargazers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/subscribers|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/forks|https://api.github.com/repos/Fraaxius/kernel_moto_sdm632/languages
hists_output.c|https://api.github.com/repositories/316907909/contents/tools/perf/tests/hists_output.c?ref=36f633d9125c224f4327127c4dd355b117b5d1cc|https://github.com/nickverse/android_kernel_samsung_universal7885/blob/36f633d9125c224f4327127c4dd355b117b5d1cc/tools/perf/tests/hists_output.c|android_kernel_samsung_universal7885|nickverse|0|2|Stable Linux Tag: v4.4.177|https://api.github.com/repos/nickverse/android_kernel_samsung_universal7885|https://github.com/nickverse/android_kernel_samsung_universal7885|https://api.github.com/repos/nickverse/android_kernel_samsung_universal7885/stargazers|https://api.github.com/repos/nickverse/android_kernel_samsung_universal7885/subscribers|https://api.github.com/repos/nickverse/android_kernel_samsung_universal7885/forks|https://api.github.com/repos/nickverse/android_kernel_samsung_universal7885/languages
hists_output.c|https://api.github.com/repositories/118633889/contents/tools/perf/tests/hists_output.c?ref=acab3402f8cd3eced4f5c5008bafa453c3778bc0|https://github.com/evopen/DHH-OP3T/blob/acab3402f8cd3eced4f5c5008bafa453c3778bc0/tools/perf/tests/hists_output.c|DHH-OP3T|evopen|0|0||https://api.github.com/repos/evopen/DHH-OP3T|https://github.com/evopen/DHH-OP3T|https://api.github.com/repos/evopen/DHH-OP3T/stargazers|https://api.github.com/repos/evopen/DHH-OP3T/subscribers|https://api.github.com/repos/evopen/DHH-OP3T/forks|https://api.github.com/repos/evopen/DHH-OP3T/languages
defaultvalue.c|https://api.github.com/repositories/4903065/contents/gtk/tests/defaultvalue.c?ref=4ca1ca5b39a9e60fe8ed6ec3a57e1433a3845d54|https://github.com/jdapena/gtk/blob/4ca1ca5b39a9e60fe8ed6ec3a57e1433a3845d54/gtk/tests/defaultvalue.c|gtk|jdapena|2|1|Gtk+ clone|https://api.github.com/repos/jdapena/gtk|https://github.com/jdapena/gtk|https://api.github.com/repos/jdapena/gtk/stargazers|https://api.github.com/repos/jdapena/gtk/subscribers|https://api.github.com/repos/jdapena/gtk/forks|https://api.github.com/repos/jdapena/gtk/languages
t_strcmp.c|https://api.github.com/repositories/166796431/contents/source/tests/lib/libc/string/t_strcmp.c?ref=e851c8cd4b8fe9f576779b5f243d185fa7e2e83f|https://github.com/pranay185417/minix/blob/e851c8cd4b8fe9f576779b5f243d185fa7e2e83f/source/tests/lib/libc/string/t_strcmp.c|minix|pranay185417|0|0||https://api.github.com/repos/pranay185417/minix|https://github.com/pranay185417/minix|https://api.github.com/repos/pranay185417/minix/stargazers|https://api.github.com/repos/pranay185417/minix/subscribers|https://api.github.com/repos/pranay185417/minix/forks|https://api.github.com/repos/pranay185417/minix/languages
string-util.c|https://api.github.com/repositories/9253575/contents/eglib/test/string-util.c?ref=82cbd7f3a72113ca100c92e3630d7b104f38d610|https://github.com/davefmurray/playscript-mono/blob/82cbd7f3a72113ca100c92e3630d7b104f38d610/eglib/test/string-util.c|playscript-mono|davefmurray|1|0|The fork of the Mono project in which the PlayScript compiler and core runtime libraries are implemented.|https://api.github.com/repos/davefmurray/playscript-mono|https://github.com/davefmurray/playscript-mono|https://api.github.com/repos/davefmurray/playscript-mono/stargazers|https://api.github.com/repos/davefmurray/playscript-mono/subscribers|https://api.github.com/repos/davefmurray/playscript-mono/forks|https://api.github.com/repos/davefmurray/playscript-mono/languages
cmd_katmai.c|https://api.github.com/repositories/39000298/contents/board/amcc/katmai/cmd_katmai.c?ref=7b19135a50e660679db5a7a5b9ecda881ca94a7f|https://github.com/Mleaf/i.mx6q-uboot/blob/7b19135a50e660679db5a7a5b9ecda881ca94a7f/board/amcc/katmai/cmd_katmai.c|i.mx6q-uboot|Mleaf|0|0||https://api.github.com/repos/Mleaf/i.mx6q-uboot|https://github.com/Mleaf/i.mx6q-uboot|https://api.github.com/repos/Mleaf/i.mx6q-uboot/stargazers|https://api.github.com/repos/Mleaf/i.mx6q-uboot/subscribers|https://api.github.com/repos/Mleaf/i.mx6q-uboot/forks|https://api.github.com/repos/Mleaf/i.mx6q-uboot/languages
cmd_yucca.c|https://api.github.com/repositories/1630266/contents/board/amcc/yucca/cmd_yucca.c?ref=a42785726f1472b54ce642af89bcbb8264dcaad3|https://github.com/xl0/openinkpot-u-boot-n516/blob/a42785726f1472b54ce642af89bcbb8264dcaad3/board/amcc/yucca/cmd_yucca.c|openinkpot-u-boot-n516|xl0|1|0|U-boot for the openinkpot project.|https://api.github.com/repos/xl0/openinkpot-u-boot-n516|https://github.com/xl0/openinkpot-u-boot-n516|https://api.github.com/repos/xl0/openinkpot-u-boot-n516/stargazers|https://api.github.com/repos/xl0/openinkpot-u-boot-n516/subscribers|https://api.github.com/repos/xl0/openinkpot-u-boot-n516/forks|https://api.github.com/repos/xl0/openinkpot-u-boot-n516/languages
hists_output.c|https://api.github.com/repositories/310951976/contents/tools/perf/tests/hists_output.c?ref=66d2a52e84c6dfb15d760ce5ea1632fc4f37d041|https://github.com/Aquarius223/android_xiaomi_nitrogen_kernel/blob/66d2a52e84c6dfb15d760ce5ea1632fc4f37d041/tools/perf/tests/hists_output.c|android_xiaomi_nitrogen_kernel|Aquarius223|0|2||https://api.github.com/repos/Aquarius223/android_xiaomi_nitrogen_kernel|https://github.com/Aquarius223/android_xiaomi_nitrogen_kernel|https://api.github.com/repos/Aquarius223/android_xiaomi_nitrogen_kernel/stargazers|https://api.github.com/repos/Aquarius223/android_xiaomi_nitrogen_kernel/subscribers|https://api.github.com/repos/Aquarius223/android_xiaomi_nitrogen_kernel/forks|https://api.github.com/repos/Aquarius223/android_xiaomi_nitrogen_kernel/languages
hists_output.c|https://api.github.com/repositories/265300872/contents/Kernel/5.4.40/tools/perf/tests/hists_output.c?ref=972bc58f2565b7342bd8d806393c7ed2f0a87e61|https://github.com/DiegoMagdaleno/ChromiumMacbook/blob/972bc58f2565b7342bd8d806393c7ed2f0a87e61/Kernel/5.4.40/tools/perf/tests/hists_output.c|ChromiumMacbook|DiegoMagdaleno|0|0|2016+ Patches for Chromium (Fyde, ChromeOS etc) to run and support all drivers by default|https://api.github.com/repos/DiegoMagdaleno/ChromiumMacbook|https://github.com/DiegoMagdaleno/ChromiumMacbook|https://api.github.com/repos/DiegoMagdaleno/ChromiumMacbook/stargazers|https://api.github.com/repos/DiegoMagdaleno/ChromiumMacbook/subscribers|https://api.github.com/repos/DiegoMagdaleno/ChromiumMacbook/forks|https://api.github.com/repos/DiegoMagdaleno/ChromiumMacbook/languages
hists_output.c|https://api.github.com/repositories/214838925/contents/tools/perf/tests/hists_output.c?ref=52a11302b2fedcdba054f9282bdb5bab795b51bd|https://github.com/yc9559/android_kernel_oneplus_7/blob/52a11302b2fedcdba054f9282bdb5bab795b51bd/tools/perf/tests/hists_output.c|android_kernel_oneplus_7|yc9559|3|0|Fork from https://gitlab.com/HolyAngel/op7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7|https://github.com/yc9559/android_kernel_oneplus_7|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/stargazers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/subscribers|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/forks|https://api.github.com/repos/yc9559/android_kernel_oneplus_7/languages
