repo_name|repo_owner|#_memcmp|#_memcpy|#_strcmp|#_strcpy|#_stars|#_forks|repo_description|repo_api_url|repo_html_url|repo_stargazers|repo_subscribers|repo_forks|repo_main_language
linux|torvalds|1517|7178|1974|928|108653|36497|Linux kernel source tree|https://api.github.com/repos/torvalds/linux|https://github.com/torvalds/linux|https://api.github.com/repos/torvalds/linux/stargazers|https://api.github.com/repos/torvalds/linux/subscribers|https://api.github.com/repos/torvalds/linux/forks|https://api.github.com/repos/torvalds/linux/languages
netdata|netdata|3|30|112|28|52120|4768|Real-time performance monitoring, done right! https://www.netdata.cloud|https://api.github.com/repos/netdata/netdata|https://github.com/netdata/netdata|https://api.github.com/repos/netdata/netdata/stargazers|https://api.github.com/repos/netdata/netdata/subscribers|https://api.github.com/repos/netdata/netdata/forks|https://api.github.com/repos/netdata/netdata/languages
redis|redis|31|75|41|7|48315|19073|Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.|https://api.github.com/repos/redis/redis|https://github.com/redis/redis|https://api.github.com/repos/redis/redis/stargazers|https://api.github.com/repos/redis/redis/subscribers|https://api.github.com/repos/redis/redis/forks|https://api.github.com/repos/redis/redis/languages
scrcpy|Genymobile|2|8|8|9|46972|4848|Display and control your Android device|https://api.github.com/repos/Genymobile/scrcpy|https://github.com/Genymobile/scrcpy|https://api.github.com/repos/Genymobile/scrcpy/stargazers|https://api.github.com/repos/Genymobile/scrcpy/subscribers|https://api.github.com/repos/Genymobile/scrcpy/forks|https://api.github.com/repos/Genymobile/scrcpy/languages
git|git|75|102|270|4|37538|21267|Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documentation/SubmittingPatches procedure for any of your improvements.|https://api.github.com/repos/git/git|https://github.com/git/git|https://api.github.com/repos/git/git/stargazers|https://api.github.com/repos/git/git/subscribers|https://api.github.com/repos/git/git/forks|https://api.github.com/repos/git/git/languages
php-src|php|103|313|159|41|30355|6593|The PHP Interpreter|https://api.github.com/repos/php/php-src|https://github.com/php/php-src|https://api.github.com/repos/php/php-src/stargazers|https://api.github.com/repos/php/php-src/subscribers|https://api.github.com/repos/php/php-src/forks|https://api.github.com/repos/php/php-src/languages
wrk|wg|0|4|1|0|28750|2344|Modern HTTP benchmarking tool|https://api.github.com/repos/wg/wrk|https://github.com/wg/wrk|https://api.github.com/repos/wg/wrk/stargazers|https://api.github.com/repos/wg/wrk/subscribers|https://api.github.com/repos/wg/wrk/forks|https://api.github.com/repos/wg/wrk/languages
ijkplayer|bilibili|0|19|11|6|28510|7417|Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.|https://api.github.com/repos/bilibili/ijkplayer|https://github.com/bilibili/ijkplayer|https://api.github.com/repos/bilibili/ijkplayer/stargazers|https://api.github.com/repos/bilibili/ijkplayer/subscribers|https://api.github.com/repos/bilibili/ijkplayer/forks|https://api.github.com/repos/bilibili/ijkplayer/languages
obs-studio|obsproject|26|125|117|18|27161|4762|OBS Studio - Free and open source software for live streaming and screen recording|https://api.github.com/repos/obsproject/obs-studio|https://github.com/obsproject/obs-studio|https://api.github.com/repos/obsproject/obs-studio/stargazers|https://api.github.com/repos/obsproject/obs-studio/subscribers|https://api.github.com/repos/obsproject/obs-studio/forks|https://api.github.com/repos/obsproject/obs-studio/languages
FFmpeg|FFmpeg|213|779|226|12|24203|8190|Mirror of https://git.ffmpeg.org/ffmpeg.git|https://api.github.com/repos/FFmpeg/FFmpeg|https://github.com/FFmpeg/FFmpeg|https://api.github.com/repos/FFmpeg/FFmpeg/stargazers|https://api.github.com/repos/FFmpeg/FFmpeg/subscribers|https://api.github.com/repos/FFmpeg/FFmpeg/forks|https://api.github.com/repos/FFmpeg/FFmpeg/languages
the_silver_searcher|ggreer|2|5|3|2|21793|1257|A code-searching tool similar to ack, but faster.|https://api.github.com/repos/ggreer/the_silver_searcher|https://github.com/ggreer/the_silver_searcher|https://api.github.com/repos/ggreer/the_silver_searcher/stargazers|https://api.github.com/repos/ggreer/the_silver_searcher/subscribers|https://api.github.com/repos/ggreer/the_silver_searcher/forks|https://api.github.com/repos/ggreer/the_silver_searcher/languages
zju-icicles|QSCTech|0|1|6|12|20845|6335|浙江大学课程攻略共享计划|https://api.github.com/repos/QSCTech/zju-icicles|https://github.com/QSCTech/zju-icicles|https://api.github.com/repos/QSCTech/zju-icicles/stargazers|https://api.github.com/repos/QSCTech/zju-icicles/subscribers|https://api.github.com/repos/QSCTech/zju-icicles/forks|https://api.github.com/repos/QSCTech/zju-icicles/languages
tmux|tmux|6|40|39|0|20796|1423|tmux source code|https://api.github.com/repos/tmux/tmux|https://github.com/tmux/tmux|https://api.github.com/repos/tmux/tmux/stargazers|https://api.github.com/repos/tmux/tmux/subscribers|https://api.github.com/repos/tmux/tmux/forks|https://api.github.com/repos/tmux/tmux/languages
os-tutorial|cfenollosa|0|1|10|0|20631|2462|How to create an OS from scratch|https://api.github.com/repos/cfenollosa/os-tutorial|https://github.com/cfenollosa/os-tutorial|https://api.github.com/repos/cfenollosa/os-tutorial/stargazers|https://api.github.com/repos/cfenollosa/os-tutorial/subscribers|https://api.github.com/repos/cfenollosa/os-tutorial/forks|https://api.github.com/repos/cfenollosa/os-tutorial/languages
darknet|pjreddie|2|18|30|0|20369|16581|Convolutional Neural Networks|https://api.github.com/repos/pjreddie/darknet|https://github.com/pjreddie/darknet|https://api.github.com/repos/pjreddie/darknet/stargazers|https://api.github.com/repos/pjreddie/darknet/subscribers|https://api.github.com/repos/pjreddie/darknet/forks|https://api.github.com/repos/pjreddie/darknet/languages
curl|curl|35|110|67|45|20199|4328|A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET and TFTP. libcurl offers a myriad of powerful features|https://api.github.com/repos/curl/curl|https://github.com/curl/curl|https://api.github.com/repos/curl/curl/stargazers|https://api.github.com/repos/curl/curl/subscribers|https://api.github.com/repos/curl/curl/forks|https://api.github.com/repos/curl/curl/languages
